season,year_planted,count
fall,1956,2
fall,1969,8
fall,1972,31
fall,1973,1
fall,1974,14
fall,1976,13
fall,1977,6
fall,1978,4
fall,1979,3
fall,1980,2
fall,1981,10
fall,1982,21
fall,1983,11
fall,1984,12
fall,1985,37
fall,1986,8
fall,1987,8
fall,1988,8
fall,1989,21
fall,1990,13
fall,1991,15
fall,1992,55
fall,1993,65
fall,1994,23
fall,1995,41
fall,1996,112
fall,1997,16
fall,1998,59
fall,1999,37
fall,2000,19
fall,2001,13
fall,2002,29
fall,2003,37
fall,2004,24
fall,2005,69
fall,2006,51
fall,2007,26
fall,2008,82
fall,2009,46
fall,2010,50
fall,2011,43
fall,2012,40
fall,2013,27
fall,2014,83
fall,2015,61
fall,2016,66
fall,2017,152
fall,2018,62
fall,2019,73
fall,2020,53
fall,2021,26
spring,1956,13
spring,1972,27
spring,1973,11
spring,1977,4
spring,1978,2
spring,1979,11
spring,1980,29
spring,1981,9
spring,1982,12
spring,1983,14
spring,1984,4
spring,1985,9
spring,1986,12
spring,1987,19
spring,1988,9
spring,1989,14
spring,1990,95
spring,1991,24
spring,1992,64
spring,1993,41
spring,1994,62
spring,1995,191
spring,1996,27
spring,1997,70
spring,1998,105
spring,1999,43
spring,2000,39
spring,2001,72
spring,2002,115
spring,2003,74
spring,2004,26
spring,2005,37
spring,2006,153
spring,2007,252
spring,2008,242
spring,2009,19
spring,2010,29
spring,2011,66
spring,2012,40
spring,2013,63
spring,2014,50
spring,2015,91
spring,2016,69
spring,2017,77
spring,2018,111
spring,2019,43
spring,2020,35
spring,2021,52
summer,1956,5
summer,1969,2
summer,1972,42
summer,1973,34
summer,1974,10
summer,1976,3
summer,1977,11
summer,1978,2
summer,1979,8
summer,1980,15
summer,1981,4
summer,1982,6
summer,1983,6
summer,1984,19
summer,1985,16
summer,1986,18
summer,1987,5
summer,1988,22
summer,1989,21
summer,1990,43
summer,1991,5
summer,1992,47
summer,1993,42
summer,1994,22
summer,1995,111
summer,1996,46
summer,1997,108
summer,1998,123
summer,1999,42
summer,2000,229
summer,2001,31
summer,2002,58
summer,2003,73
summer,2004,38
summer,2005,42
summer,2006,36
summer,2007,36
summer,2008,119
summer,2009,133
summer,2010,42
summer,2011,84
summer,2012,30
summer,2013,27
summer,2014,25
summer,2015,89
summer,2016,100
summer,2017,67
summer,2018,38
summer,2019,24
summer,2020,44
summer,2021,74
winter,1956,3
winter,1969,4
winter,1970,4
winter,1972,4
winter,1973,5
winter,1975,4
winter,1976,3
winter,1977,4
winter,1978,2
winter,1979,1
winter,1980,3
winter,1981,14
winter,1982,18
winter,1983,5
winter,1984,11
winter,1985,5
winter,1986,26
winter,1987,7
winter,1988,3
winter,1989,7
winter,1990,42
winter,1991,49
winter,1992,47
winter,1993,31
winter,1994,52
winter,1995,111
winter,1996,20
winter,1997,63
winter,1998,142
winter,1999,66
winter,2000,83
winter,2001,77
winter,2002,35
winter,2003,63
winter,2004,43
winter,2005,96
winter,2006,190
winter,2007,110
winter,2008,265
winter,2009,59
winter,2010,32
winter,2011,31
winter,2012,50
winter,2013,42
winter,2014,79
winter,2015,177
winter,2016,120
winter,2017,46
winter,2018,74
winter,2019,39
winter,2020,73
winter,2021,54
winter,2022,2
